Number of Run,k_f,Noise Level,Figure of Merit
8,400000,-174,46.3016082229563
9,400000,-174,46.1907149088538
10,400000,-174,46.4086343076132
1,400000,-173,46.0703153107635
2,400000,-173,46.3512346845498
3,400000,-173,46.237662628554
4,400000,-173,46.1226219469678
5,400000,-173,46.2038938847127
6,400000,-173,45.9791909560383
7,400000,-173,46.2021069315524
8,400000,-173,46.1804779728761
9,400000,-173,46.1134592131424
10,400000,-173,46.4897918991468
1,400000,-172,46.11417132233
2,400000,-172,46.300859910959
3,400000,-172,46.2867787760598
4,400000,-172,46.1593192087247
5,400000,-172,46.3271798876897
6,400000,-172,46.2014628730863
7,400000,-172,46.352387745591
8,400000,-172,46.4102909061364
9,400000,-172,46.0963264276724
10,400000,-172,46.0932006220695
1,400000,-171,46.5318729768432
2,400000,-171,46.1180494777376
3,400000,-171,46.2114128654031
4,400000,-171,46.6159946304402
5,400000,-171,46.4115584974843
6,400000,-171,46.2950430339435
7,400000,-171,46.5482513858578
8,400000,-171,46.3340259449363
9,400000,-171,46.5910097845624
10,400000,-171,46.4411946574974
1,400000,-170,46.3983575888459
2,400000,-170,46.4456787123879
3,400000,-170,46.2589161749061
4,400000,-170,46.2822695935746
5,400000,-170,46.3991098779572
6,400000,-170,46.2130375784603
7,400000,-170,46.3802243546269
8,400000,-170,46.2146388479462
9,400000,-170,46.3829869566325
10,400000,-170,45.9376998523249
1,500000,-180,47.7074228744514
2,500000,-180,47.8107423089188
3,500000,-180,47.4451614966743
4,500000,-180,47.7699871820579
5,500000,-180,47.6618260823691
6,500000,-180,47.5226213217135
7,500000,-180,47.5835412347226
8,500000,-180,47.6451567574924
9,500000,-180,47.4306799123799
10,500000,-180,47.5215814237765
1,500000,-179,47.5148994025288
2,500000,-179,47.7502916021841
3,500000,-179,47.8661069108967
4,500000,-179,47.6357440765421
5,500000,-179,47.5856543717995
6,500000,-179,47.797261547105
7,500000,-179,47.7587072879654
8,500000,-179,47.8143578228859
9,500000,-179,47.6292195026557
10,500000,-179,47.5815128164859
1,500000,-178,47.6277840831182
2,500000,-178,47.7652866098186
3,500000,-178,47.4107398980045
4,500000,-178,47.5810465275775
5,500000,-178,47.305802021282
6,500000,-178,47.7778075877337
7,500000,-178,47.6147585424735
8,500000,-178,47.8555205006333
9,500000,-178,47.7409619328635
10,500000,-178,47.8346170784857
1,500000,-177,47.9015434802574
2,500000,-177,47.6817067448726
3,500000,-177,47.244242531458
4,500000,-177,47.7074901254585
5,500000,-177,47.3810540848292
6,500000,-177,47.391890926999
7,500000,-177,47.150643668915
8,500000,-177,47.7173642004861
9,500000,-177,47.735724916786
10,500000,-177,47.7435513572376
1,500000,-176,47.6775759436664
2,500000,-176,47.4770860632802
3,500000,-176,48.0437049840788
4,500000,-176,47.5695670186508
5,500000,-176,47.4141093097051
6,500000,-176,47.6225987715313
7,500000,-176,47.5424561055503
8,500000,-176,47.5085546468399
9,500000,-176,47.7710827640731
10,500000,-176,47.6491620111989
1,500000,-175,47.6262963336932
2,500000,-175,47.3496224940811
3,500000,-175,47.5804538470193
4,500000,-175,47.4459153200458
5,500000,-175,47.9351510897479
6,500000,-175,47.8828117984725
7,500000,-175,47.7872596550033
8,500000,-175,47.6087906709748
9,500000,-175,47.8137934983267
10,500000,-175,47.5539015864944
1,500000,-174,47.6344479993451
2,500000,-174,47.4665876553799
